no	Year	Authors	Citation	publication	Score
62	1931	Langmuir I, Villars DS. 	Oxygen films on tungsten. I. A study of stability by means of electron emission in presence of cesium vapor 	Journal of the American Chemical Society. 53: 486-497. DOI: 10.1021/Ja01353A012	0.265
63	1931	Langmuir I. 	Experiments with oil on water 	Journal of Chemical Education. 8: 859-866. DOI: 10.1021/Ed008P850	0.265
64	1930	Langmuir I, MacLane S, Blodgett KB. 	The effect of end losses on the characteristics of filaments of tungsten and other materials 	Physical Review. 35: 478-503. DOI: 10.1103/Physrev.35.478	0.265
65	1930	Langmuir I. 	Chandler Lecture - "Electrochemical Interactions of Tungsten, Thorium Caesium, and Oxygen" 	Industrial & Engineering Chemistry. 22: 390-393. DOI: 10.1021/Ie50244A026"	0.265
66	1930	Langmuir I. 	Address of Irving Langmuir 	Journal of Chemical Education. 7: 530. DOI: 10.1021/Ed007P530	0.265
67	1930	Langmuir I, Found CG. 	Metastable atoms and electrons produced by resonance radiation in neon 	Physical Review. 36: 225-227. DOI: 10.1016/B978-1-4831-9913-9.50017-0	0.265
68	1929	Langmuir I. 	MODERN CONCEPTS IN PHYSICS AND THEIR RELATION TO CHEMISTRY. 	Science (New York, N.Y.). 70: 385-96. PMID 17819920 DOI: 10.1126/Science.70.1817.385	0.265
69	1929	Tonks L, Langmuir I. 	A general theory of the plasma of an arc 	Physical Review. 34: 876-922. DOI: 10.1103/Physrev.34.876	0.265
70	1929	Langmuir I, Kingdon KH. 	Contact potential measurements with adsorbed films 	Physical Review. 34: 129-135. DOI: 10.1103/Physrev.34.129	0.265
71	1929	Tonks L, Langmuir I. 	Note on ""oscillations in ionized gases"" 	Physical Review. 33: 990. DOI: 10.1103/Physrev.33.990"	0.265
72	1929	Langmuir I. 	The interaction of electron and positive ion space charges in cathode sheaths 	Physical Review. 33: 954-989. DOI: 10.1103/Physrev.33.954	0.265
73	1929	LANGMUIR I. 	Kinetic Theory and Electric Conduction through Gases 	Nature. 123: 675-676. DOI: 10.1038/123675A0	0.265
74	1929	Langmuir I. 	President'S Address1 Modern Concepts In Physics And Their Relation To Chemistry 	Journal of the American Chemical Society. 51. DOI: 10.1021/Ja01385A001	0.265
76	1929	Langmuir I. 	Forces near the surfaces of molecules 	Chemical Reviews. 6: 451-479. DOI: 10.1021/Cr60024A002	0.265
77	1928	Langmuir I. 	ATOMIC HYDROGEN AS AN AID TO INDUSTRIAL RESEARCH. 	Science (New York, N.Y.). 67: 201-8. PMID 17742171 DOI: 10.1126/Science.67.1730.201	0.265
78	1928	Langmuir I. 	Oscillations in Ionized Gases. 	Proceedings of the National Academy of Sciences of the United States of America. 14: 627-37. PMID 16587379 DOI: 10.1103/Physrev.33.195	0.265
79	1928	Langmuir I, Jones HA. 	Collisions between electrons and gas molecules 	Physical Review. 31: 357-404. DOI: 10.1103/Physrev.31.357	0.265
80	1928	Langmuir I. 	Über elektrische Entladungen in Gasen bei niedrigen Drucken 	Zeitschrift FüR Physik. 46: 271-299. DOI: 10.1007/Bf01390681	0.265
81	1927	Tonks L, Langmuir I. 	On the surface heat of charging 	Physical Review. 29: 524-531. DOI: 10.1103/Physrev.29.524	0.265
82	1927	Langmuir I, Langmuir DB. 	The Effect of Monomolecular Films on the Evaporation of Ether Solutions. 	The Journal of Physical Chemistry. 31: 1719-1731. DOI: 10.1021/J150281A011	0.265
83	1927	Langmuir I. 	Flames of Atomic Hydrogen1,2 	Industrial & Engineering Chemistry. 19: 667-674. DOI: 10.1021/Ie50210A009	0.265
84	1926	Mott-Smith HM, Langmuir I. 	The theory of collectors in gaseous discharges 	Physical Review. 28: 727-763. DOI: 10.1103/Physrev.28.727	0.265
85	1925	Langmuir I. 	FLAMES OF ATOMIC HYDROGEN. 	Science (New York, N.Y.). 62: 463-4. PMID 17835624 DOI: 10.1126/Science.62.1612.463	0.265
86	1925	Langmuir I. 	Scattering of electrons in ionized gases 	Physical Review. 26: 585-613. DOI: 10.1103/Physrev.26.585	0.265
87	1925	Langmuir I, Kingdon KH. 	Thermionic Effects Caused by Vapours of Alkali Metals 	Proceedings of the Royal Society a: Mathematical, Physical and Engineering Sciences. 107: 61-79. DOI: 10.1098/Rspa.1925.0005	0.265
88	1924	Langmuir I, Jones HA. 	A SIMPLE METHOD FOR QUANTITATIVE STUDIES OF IONIZATION PHENOMENA IN GASES. 	Science (New York, N.Y.). 59: 380-3. PMID 17811901 DOI: 10.1126/Science.59.1530.380-B	0.265
89	1924	Langmuir I, Blodgett KB. 	Currents limited by space charge between concentric spheres 	Physical Review. 24: 49-59. DOI: 10.1103/Physrev.24.49	0.265
90	1923	Langmuir I, Kingdon KH. 	THERMIONIC EFFECTS CAUSED BY ALKALI VAPORS IN VACUUM TUBES. 	Science (New York, N.Y.). 57: 58-60. PMID 17776292 DOI: 10.1126/Science.57.1463.58	0.265
91	1923	Langmuir I. 	POSITIVE ION CURRENTS FROM THE POSITIVE COLUMN OF MERCURY ARCS. 	Science (New York, N.Y.). 58: 290-1. PMID 17772220 DOI: 10.1126/Science.58.1502.290	0.265
92	1923	Langmuir I. 	A NEW PHOTO-ELECTRIC EFFECT REFLECTION OF ELECTRONCS INDUCED BY LIGHT. 	Science (New York, N.Y.). 58: 398-400. PMID 17770641 DOI: 10.1126/Science.58.1507.398-A	0.265
93	1923	Langmuir I. 	The electron emission from thoriated tungsten filaments 	Physical Review. 22: 357-398. DOI: 10.1103/Physrev.22.357	0.265
94	1923	Langmuir I, Blodgett KB. 	Currents limited by space charge between coaxial cylinders 	Physical Review. 22: 347-356. DOI: 10.1103/Physrev.22.347	0.265
95	1923	Kingdon KH, Langmuir I. 	The removal of thorium from the surface of a thoriated tungsten filament by positive ion bombardment 	Physical Review. 22: 148-160. DOI: 10.1103/Physrev.22.148	0.265
96	1923	Langmuir I. 	The effect of space charge and initial velocities on the potential distribution and thermionic current between parallel plane electrodes 	Physical Review. 21: 419-435. DOI: 10.1103/Physrev.21.419	0.265
97	1923	Langmuir I. 	The pressure effect and other phenomena in gaseous discharges 	Journal of the Franklin Institute. 196: 751-762. DOI: 10.1016/S0016-0032(23)90859-8	0.265
98	1922	Langmuir I. 	The mechanism of the catalytic action of platinum in the reactions 2CO + O2 = 2CO2 and 2H2 + O2 = 2H2O 	Transactions of the Faraday Society. 17: 621-654. DOI: 10.1039/Tf9221700621	0.265
99	1922	Langmuir I. 	Part II.—“Heterogeneous reactions”. Chemical reactions on surfaces 	Transactions of the Faraday Society. 17: 607-620. DOI: 10.1039/Tf9221700607	0.265
100	1921	Langmuir I. 	TYPES OF VALENCE. 	Science (New York, N.Y.). 54: 59-67. PMID 17843674 DOI: 10.1126/Science.54.1386.59	0.265
101	1921	Langmuir I. 	THE STRUCTURE OF THE STATIC ATOM. 	Science (New York, N.Y.). 53: 290-3. PMID 17753224 DOI: 10.1126/Science.53.1369.290	0.265
102	1921	Bartlett G, Langmuir I. T	he crystal structures of the ammonium halides above and below the transition temperatures 	The Journal of the American Chemical Society. 43: 84-91. DOI: 10.1021/Ja01434A010	0.265
148	1929	Hull AW, Langmuir I. 	CONTROL OF AN ARC DISCHARGE BY MEANS OF A GRID. 	Proceedings of the National Academy of Sciences of the United States of America. 15: 218-25. PMID 16577170 DOI: 10.1073/Pnas.15.3.218	0.263
149	1922	Lindemann FA, Arrhenius S, Langmuir I, Dhar NR, Perrin J, McC. Lewis WC. 	Discussion on “the radiation theory of chemical action” 	Transactions of the Faraday Society. 17: 598-606. DOI: 10.1039/Tf9221700598	0.25
150	1922	Rideal E, The Chairman TC, Bone WA, Ingle-Finch G, Baly ECC, McC. Lewis WC, Edser E, Armstrong EF, Hilditch TP, Holtorp HE, Langmuir I, Arrhenius A. 	Discussion on “heterogeneous reactions” 	Transactions of the Faraday Society. 17: 655-675. DOI: 10.1039/Tf9221700655	0.248
151	1924	Baekeland LH, Bancroft WD, Boltwood BB, Booth JC, Chandler CF, Chittenden RH, Clarke FW, Cottrell FG, Cooke JP, Franklin EC, Gibbs JW, Gibbs W, Gomberg M, Hare R, Hillebrand WF, ... ... Langmuir I, et al. 	EMINENT AMERICAN CHEMISTS 	Science. 59: 158-158. DOI: 10.1126/Science.59.1520.158-A	0.243
1	1927	Curie M, Lorentz HA, Einstein A, Serex P. 	The Establishment Of An International Bureau Of Meteorology 	Science. 65: 415-417. DOI: 10.1126/Science.65.1687.415-A	0.143
2	1928	Michelson AA, Lorentz HA, Miller DC, Kennedy RJ, Hedrick ER, Epstein PS. 	Conference on the Michelson-Morley Experiment Held at Mount Wilson, February, 1927 	The Astrophysical Journal. 68: 341. DOI: 10.1086/143148	0.12
6	1928	Lorentz HA. 	How can atoms radiate? 	Journal of the Franklin Institute. 205: 449-471.	0.118
7	1927	Curie M, Lorentz HA, Einstein A. 	The Establishment of an International Bureau of Meteorology 	Science. 65: 415-417. DOI: 10.1126/science.65.1687.415.b	0.118
8	1925	Lorentz HA. 	Max Planck und die Quantentheorie 	Die Naturwissenschaften. 13: 1077-1082. DOI: 10.1007/BF01585589	0.118
9	1924	Lorentz HA. 	The radiation of light 	Nature. 113: 608-611.	0.118
10	1923	Lorentz HA. 	The rotation of the earth and its influence on optical phenomena 	Nature. 112: 103-104.	0.118
11	1922	Lorentz HA. 	RESEARCH IN THE NORMAN BRIDGE LABORATORY. 	Science (New York, N.Y.). 55: 334-5. PMID 17811155 DOI: 10.1126/science.55.1422.334	0.118
12	1922	Lorentz HA. 	Proof of a Theorem Due to Heaviside. 	Proceedings of the National Academy of Sciences of the United States of America. 8: 333-8. PMID 16576649	0.118
13	1921	Lorentz HA. 	Deux mémoires de Henri Poincaré sur la physique mathématique 	Acta Mathematica. 38: 293-308. DOI: 10.1007/BF02392073	0.118
14	1921	Lorentz HA. 	The Michelson-Morley experiment and the dimensions of moving bodies 	Nature. 106: 793-795.	0.118
28	1924	Piaggio HTH, Campbell NR, Lorentz HA, Rutherford E, de Broglie M, Millikan RA, Onnes HK, Weiss P, Brillouin L, Bragg WH, de Haas WJ, Bohr N, Ehrenfest P. M	odern Electrical Theory. Supplementary Chapters. Chapter XVII.: The Structure of the Atom 	The Mathematical Gazette. 12: 117. DOI: 10.2307/3604665	0.01
4	1930	Heisenberg W, Pauli W. 	Zur Quantentheorie der Wellenfelder. II 	Zeitschrift FüR Physik. 59: 168-190. DOI: 10.1007/Bf01341423	0.508
5	1929	Heisenberg W, Pauli W. 	Zur Quantendynamik der Wellenfelder 	Zeitschrift FüR Physik. 56: 1-61. DOI: 10.1007/Bf01340129	0.518
24	1933	Pauli W. 	Einige die Quantenmechanik betreffenden Erkundigungsfragen 	European Physical Journal. 80: 573-586. DOI: 10.1007/Bf01335695	0.263
25	1933	Pauli W. 	Über die Formulierung der Naturgesetze mit fünf homogenen Koordinaten. Teil II: Die Diracschen Gleichungen für die Materiewellen 	Annalen Der Physik. 410: 337-372. DOI: 10.1002/Andp.19334100402	0.263
26	1927	Pauli W. 	Zur Quantenmechanik des magnetischen Elektrons 	European Physical Journal. 43: 601-623. DOI: 10.1007/Bf01397326	0.263
27	1927	Pauli W. 	Über Gasentartung und Paramagnetismus 	European Physical Journal A. 41: 81-102. DOI: 10.1007/Bf01391920	0.263
28	1926	Pauli W. 	Über das Wasserstoffspektrum vom Standpunkt der neuen Quantenmechanik 	European Physical Journal. 36: 336-363. DOI: 10.1007/Bf01450175	0.263
29	1925	Pauli W. 	Über den Zusammenhang des Abschlusses der Elektronengruppen im Atom mit der Komplexstruktur der Spektren 	European Physical Journal. 31: 765-783. DOI: 10.1007/Bf02980631	0.263
30	1922	Pauli W. 	Über das Modell des Wasserstoffmolekülions 	Annalen Der Physik. 373: 177-240. DOI: 10.1002/Andp.19223731102	0.263
35	1929	Pauli WE, Politzer G. 	Über die Wirkung von Kathodenstrahlen auf die Ruhezellen und auf die Karyokinesen von Salamandra maculosa 	Zeitschrift FüR Zellforschung Und Mikroskopische Anatomie. 8: 404-424. DOI: 10.1007/BF00587498	0.12
36	1926	Hartman A, Pauli WE. 	Beobachtungen über Teerwirkung an weißen Mäusen und ihr Verhalten gegenüber von Kathodenstrahlen 	Zeitschrift FüR Anatomie Und Entwicklungsgeschichte. 80: 492-523. DOI: 10.1007/BF02136014	0.12
37	1925	Pauli WE, Redwitz Ev. 	Bemerkungen zur Konstruktion und Verwendung der Meyer-Schlüterschen Sonde Deutsche 	Zeitschrift FüR Chirurgie. 193: 343-348. DOI: 10.1007/BF02895414	0.12
38	1925	Angerer Cv, Pauli WE, Redwitz Ev. 	Über die Einwirkung der Kathodenstrahlen auf Bakterien in vitro und in frischen Wunden Deutsche 	Zeitschrift FüR Chirurgie. 193: 330-342. DOI: 10.1007/BF02895413	0.12
2	1932	Piccard A, Stahel E, Kipfer P. 	Messung der Ultrastrahlung in 16000 m Höhe 	Die Naturwissenschaften. 20: 592-593. DOI: 10.1007/BF01503758	0.01
3	1929	Piccard A, Stahel E. 	Ein neuer Versuch über die Mitführung des Äthers - Bemerkung zu der gleichnamigen Arbeit von A. Dworsky 	Zeitschrift FüR Physik. 53: 312. DOI: 10.1007/BF01339731	0.01
4	1928	Piccard A, Stahel E. 	Das Michelson-Experiment, ausgeführt auf dem Rigi, 1 800 m ü. M. 	Die Naturwissenschaften. 16: 25. DOI: 10.1007/BF01504835	0.01
5	1927	Piccard A, Stahel E. 	Neue Resultate des Michelson-Experimentes 	Die Naturwissenschaften. 15: 140. DOI: 10.1007/BF01505485	0.01
53	1932	Planck M. 	The concept of causality 	Proceedings of the Physical Society. 44: 529-539. DOI: 10.1088/0959-5309/44/5/301	0.01
54	1931	Planck M. 	James Clerk Maxwell - in Seiner Bedeutung Für Die Theoretische Physik In Deutschland 	Die Naturwissenschaften. 19: 889-894. DOI: 10.1007/BF01516331	0.01
55	1929	Planck M. 	Das Weltbild der neuen Physik 	Monatshefte FüR Mathematik Und Physik. 36: 387-410. DOI: 10.1007/BF02307625	0.01
56	1928	Planck M. 	Hendrik Antoon Lorentz 	Die Naturwissenschaften. 16: 549-555. DOI: 10.1007/BF01506805	0.01
57	1928	Planck M. 	Nachtrag zur Gedächtnisrede auf H. A. Lorentz 	Die Naturwissenschaften. 16: 580. DOI: 10.1007/BF01505022	0.01
58	1927	Planck M. 	Die physikalische Realität der Lichtquanten 	Die Naturwissenschaften. 15: 529-531. DOI: 10.1007/BF01504809	0.01
59	1927	Planck M. 	The physical reality of light-quanta 	Journal of the Franklin Institute. 204: 13-18.	0.01
60	1926	Planck M. 	Physikalische Gesetzlichkeit - im Lichte neuerer Forschung 	Die Naturwissenschaften. 14: 249-261. DOI: 10.1007/BF01491761	0.01
61	1926	Planck M. 	Eine neue statistische Definition der Entropie 	Zeitschrift FüR Physik. 35: 155-169. DOI: 10.1007/BF01379996	0.01
62	1925	Planck M. 	Vom Relativen zum Absoluten 	Die Naturwissenschaften. 13: 53-59. DOI: 10.1007/BF01559357	0.01
63	1923	Planck M. 	Die Bohrsche Atomtheorie 	Die Naturwissenschaften. 11: 535-537. DOI: 10.1007/BF01554347	0.01
64	1921	Planck M. 	Henri Poincaré und die Quantentheorie 	Acta Mathematica. 38: 387-397. DOI: 10.1007/BF02392075	0.01
6	1930	Rao SR, Richardson OW. 	Total secondary electron emission from polycrystalline Nickel 	Proceedings of the Royal Society a: Mathematical, Physical and Engineering Sciences. 128: 41-56. DOI: 10.1098/Rspa.1930.0091	0.251
7	1922	Richardson OW. 	I. The emission of electrons under the influence of chemical action 	Philosophical Transactions of the Royal Society A. 222: 1-43. DOI: 10.1098/Rsta.1922.0001	0.251
14	1932	Richardson OW. 	Alte und neue Fragen der Elektronenemission 	Monatshefte FüR Mathematik Und Physik. 39: 245-258. DOI: 10.1007/BF01699068	0.12
15	1931	Richardson OW. 	Isolated quantised magnetic poles [1] 	Nature. 128: 582.	0.12
16	1931	Richardson OW, Williams WE. 	Fine structure in the hydrogen band lines [2] 	Nature. 127: 481.	0.12
17	1929	Richardson OW. Part I. 	Band spectra in the visible and ultra-violet regions. Nomenclature and symbolism for the spectra of diatomic molecules 	Transactions of the Faraday Society. 25: 628-633.	0.12
18	1929	Richardson OW. 	A new connexion between the absorption spectrum of hydrogen and the many lined spectrum [1] 	Nature. 124: 408.	0.12
19	1929	Richardson OW, Andrewes U. 	Soft x-rays from crystal faces [1]	 Nature. 123: 344.	0.12
20	1929	Richardson OW. 	The electronic levels of H2 	Transactions of the Faraday Society. 25: 686-693.	0.12
21	1928	Richardson OW. 	The hydrogen molecule [2] 	Nature. 121: 320.	0.12
22	1928	Richardson OW, Davidson PM. 	The spectrum of the hydrogen molecule [2] 	Nature. 121: 1018.	0.12
23	1926	Richardson OW. 	The present state of atomic physics 	Proceedings of the Physical Society. 39: 171-186. DOI: 10.1088/0959-5309/39/1/316	0.12
24	1926	Richardson OW. 	Spinning electrons [2] 	Nature. 117: 652.	0.12
25	1926	Richardson OW. 	The secondary hydrogen spectrum 	Nature. 118: 116.	0.12
26	1924	Richardson OW. 	Electron emission from metals as a function of temperature 	Physical Review. 23: 153-155. DOI: 10.1103/PhysRev.23.153	0.12
27	1924	Richardson O. 	XCVII. Photoelectric and photochemical activity 	The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science. 47: 975-976. DOI: 10.1080/14786442408565283	0.12
28	1924	Richardson OW, Tanaka T. 	The continuous spectrum of hydrogen [3] 	Nature. 113: 92-193.	0.12
29	1923	Richardson OW. 	Thermionic emission from systems with multiple thresholds 	Proceedings of the Physical Society of London. 36: 383-398. DOI: 10.1088/1478-7814/36/1/344	0.12
30	1923	Richardson OW. 	The disappearing gap in the spectrum 	Nature. 111: 118-121.	0.12
31	1921	Richardson OW. 	PROBLEMS OF PHYSICS. 	Science (New York, N.Y.). 54: 283-91. PMID 17818864 DOI: 10.1126/science.54.1396.283	0.12
37	1932	von Traubenberg HR, Gebauer R, SchrÃdinger E. Ã	ber das Verhalten des Starkeffekts bei plÃtzlichen FeldÃ¤nderungen 	Zeitschrift FüR Physik. 78: 309-317. DOI: 10.1007/BF01342198	0.119
38	1931	SchrÃdinger E. 	Bemerkung zu der Arbeit des Herrn V. Fock: ""Die inneren Freiheitsgrade des Elektrons"" 	Zeitschrift FüR Physik. 70: 808-810. DOI: 10.1007/BF01340623"	0.119
39	1929	SchrÃdinger E. 	Was ist ein Naturgesetz? 	Die Naturwissenschaften. 17: 9-11. DOI: 10.1007/BF01505758	0.119
40	1929	SchrÃdinger E. 	Die Erfassung der Quantengesetze durch kontinuierliche Funktionen 	Die Naturwissenschaften. 17: 486-489. DOI: 10.1007/BF01505681	0.119
41	1927	SchrÃdinger E. 	Ãber den Comptoneffekt 	Annalen Der Physik. 387: 257-264. DOI: 10.1002/ANDP.19273870210	0.119
42	1926	SchrÃdinger E. 	An undulatory theory of the mechanics of atoms and molecules 	Physical Review. 28: 1049-1070. DOI: 10.1103/PhysRev.28.1049	0.119
43	1926	SchrÃdinger E. 	Der stetige Ãbergang von der Mikro- zur Makromechanik 	Die Naturwissenschaften. 14: 664-666. DOI: 10.1007/BF01507634	0.119
44	1926	Grotrian W, SchrÃdinger E, Ã.. 	Mitteilungen aus verschiedenen Gebieten 	Die Naturwissenschaften. 14: 144-148. DOI: 10.1007/BF01507301	0.119
45	1926	SchrÃdinger E. 	Ãber das VerhÃ¤ltnis der Heisenberg-Born-Jordanschen Quantenmechanik zu der meinem 	Annalen Der Physik. 384: 734-756. DOI: 10.1002/ANDP.19263840804	0.119
46	1926	SchrÃdinger E. 	Quantisierung als Eigenwertproblem 	Annalen Der Physik. 384: 361-376. DOI: 10.1002/ANDP.19263840404	0.119
47	1925	SchrÃdinger E. 	Ãber die subjektiven Sternfarben und die QualitÃt der DÃmmerungsempfindung 	Die Naturwissenschaften. 13: 373-376. DOI: 10.1007/BF01559096	0.119
48	1924	SchrÃdinger E. 	Ãber den Ursprung der Empfindlichkeitskurven des Auges 	Die Naturwissenschaften. 12: 925-929. DOI: 10.1007/BF01507096	0.119
49	1924	SchrÃdinger E. 	Bohrs neue Strahlungshypothese und der Energiesatz 	Die Naturwissenschaften. 12: 720-724. DOI: 10.1007/BF01504820	0.119
50	1924	SchrÃdinger E. 	Ãber die RotationswÃ¤rme des Wasserstoffs 	Zeitschrift FüR Physik. 30: 341-349. DOI: 10.1007/BF01331851	0.119
51	1924	SchrÃdinger E. 	Bemerkung zu zwei Arbeiten des Herrn ElemÃr CsÃ¡szÃ¡r Ãber Strahlungstheorie und spezifische WÃ¤rmen 	Zeitschrift FüR Physik. 25: 173-174. DOI: 10.1007/BF01327519	0.119
52	1923	SchrÃdinger E. 	Ãber eine bemerkenswerte Eigenschaft der Quantenbahnen eines einzelnen Elektrons 	Zeitschrift FüR Physik. 12: 13-23. DOI: 10.1007/BF01328077	0.119
53	1922	SchrÃdinger E. 	Ãber die spezifische WÃ¤rme fester KÃrper usw 	Zeitschrift FüR Physik. 11: 396. DOI: 10.1007/BF01328430	0.119
54	1922	SchrÃdinger E. 	Ãber die spezifische WÃ¤rme fester KÃrper bei hoher Temperatur und Ã¼ber die Quantelung von Schwingungen endlicher Amplitude 	Zeitschrift FüR Physik. 11: 170-176. DOI: 10.1007/BF01328412	0.119
55	1921	SchrÃdinger E. 	Versuch zur modellmÃ¤Ãigen Deutung des Terms der scharfen Nebenserien 	Zeitschrift FüR Physik. 4: 347-354. DOI: 10.1007/BF01332499	0.119
56	1921	SchrÃdinger E. 	Isotopie und Gibbssches Paradoxon 	Zeitschrift FüR Physik. 5: 163-166. DOI: 10.1007/BF01329248	0.119
1	1925	De Broglie L.	Recherches sur la théorie des quanta	Ann. de Physique (10) 3, 22.	1
2	1923 	De Broglie L.	Waves and quanta	Nature, 112(2815), 540-540.	1
3	1924	De Broglie L.	XXXV. A tentative theory of light quanta. 	The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science, 47(278), 446-458.	1
4	1926	de Broglie L. 	Interference and corpuscular light.	 Nature, 118(2969), 441-442.	1
5	1927	De Broglie L. 	La mécanique ondulatoire et la structure atomique de la matière et du rayonnement.	Journal de Physique et le Radium, 8(5), 225-241.	1
6	1922	De Broglie L. 	Rayonnement noir et quanta de lumière. 	Journal de Physique et le Radium, 3(11), 422-428.	1
8	1927	De Broglie L.	L'univers a cinq dimensions et la mécanique ondulatoire. 	Journal de Physique et le Radium, 8(2), 65-73	1
9	1933	De Broglie L.	Relativité et quanta. 	Revue de Métaphysique et de Morale, 40(3), 269-279.	1
10 	1929	De Broglie L. 	Déterminisme et causalité dans la physique contemporaine. 	Revue de Métaphysique et de Morale;36(4):433-43.	1
11	1928	De Broglie L, de Broglie M. 	Introduction à la physique des rayons X et gamma	Gauthier-Villars.	1
1	1926	Brillouin L. 	Remarques sur la mécanique ondulatoire.	Journal de Physique et le Radium, 7(12), 353-368.	1
2	1930	Brillouin L.	Les électrons libres dans les métaux et le role des réflexions de Bragg. 	Journal de Physique et le Radium. 1930;1(11):377-400.2	1
3	1927	Brillouin L.	Les moments de rotation et le magnétisme dans la mécanique ondulatoire. 	Journal de Physique et le Radium, 8(2), pp.74-84.	1
4	1925	Brillouin L.	Les tensions de radiation; leur interprétation en mécanique classique et en relativité. 	J. Phys. Radium, 6(11), pp.337-353.	1
5	1933	Brillouin L. 	Le champ self-consistent, pour des électrons liés; la supraconductibilité. 	Journal de Physique et le Radium;4(7):333-61.	1
6	1931	Brillouin L. 	Quantenstatistik. 	Die Quantenstatistik und Ihre Anwendung auf die Elektronentheorie der Metalle  (pp. 124-157)	1
7	1922	Brillouin L. 	Influence de l'agitation thermique sur la viscosité des liquides. Propagation d'ondes élastiques dans un milieu en mouvement. 	Journal de Physique et le Radium ;3(10):362-83.	1
8	1928	Brillouin L. 	Is it possible to test by a direct experiment the hypothesis of the spinning electron?. 	Proceedings of the National Academy of Sciences of the United States of America.14(10):755.	1
9	1933	Brillouin L. 	Sur la stabilité du courant dans un supraconducteur. 	Journal de Physique et le Radium 4(12):677-90.	1
10 	1927	Brillouin L. 	Comparaison des différentes statistiques appliquées aux problèmes de quanta. 	Annales de physique (Vol. 10, No. 7, pp. 315-331).	1
1	1928	Dirac PAM	The quantum theory of the electron	Proceedings of the Royal Society of London. Series A, Containing Papers of a …, 	1
2	1931	Dirac PAM	Quantised singularities in the electromagnetic field	Proceedings of the Royal Society of London. Series A, Containing Papers of a …, 	1
3	1930	Dirac PAM	Note on exchange phenomena in the Thomas atom	Proceedings of the Cambridge Philosophical Society 26, 376,	1
4	1927	Dirac PAM	The quantum theory of the emission and absorption of radiation	Proceedings of the Royal Society of London. Series A, Containing Papers of a …, 	1
5	1929	Dirac PAM	Quantum mechanics of many-electron systems	Proceedings of the Royal Society of London. Series A 123 (792), 714-733, 	1
6	1926	Dirac PAM	On the theory of quantum mechanics	Proceedings of the Royal Society of London. Series A, Containing Papers of a …, 	1
7	1930	Dirac PAM	A theory of electrons and protons	Proceedings of the Royal Society of London. Series A 126 (801), 360-365, 	1
8	1928	Dirac PAM	The quantum theory of the electron. Part II	Proceedings of the Royal Society of London. Series A 118 (779), 351-361,	1
9	1933	Dirac PAM	The Lagrangian in quantum mechanics	Phys. Z. USSR 3, 64-72,	1
10	1925	Dirac PAM	The fundamental equations of quantum mechanics	Proceedings of the Royal Society of London. Series A 109 (752), 642, 	1
11	1933	Kapitza PL, Dirac PAM	The reflection of electrons from standing light waves	Mathematical Proceedings of the Cambridge Philosophical Society 29 (02), 297-300, 	1
12	1930	Dirac PAM	On the annihilation of electrons and protons	Mathematical Proceedings of the Cambridge Philosophical Society 26 (03), 361-375, 	1
13	1927	Dirac PAM	The physical interpretation of the quantum dynamics	Proceedings of the Royal Society of London. Series A 113 (765), 621-641,	1
0	1923	CE Guye, R Rudy 	Sur la rotation de la décharge électrique dans un champ magnétique et la détermination des diamètres moléculaires	 AArchives des sciences physiques et naturelles,  	1
1	1921	CE Guye, A Rothen 	Recherches sur la rotation de la décharge électrique dans un champ magnétique	 AArchives des sciences physiques et naturelles,  	1
2	1929	CE Guye, H Saini 	Contribution expérimentale à l'étude énergétique des phénomènes d'imbibition	 Helvetica physica acta,  	1
3	1923	CE Guye, JJ Weigle 	Potentiel disruptif dans les gaz aux pressions élevées et champ moléculaire (suite)	 AArchives des sciences physiques et naturelles,  	1
4	1927	CE Guye, BJ Luyet 	Recherches sur la rotation de la décharge électrique dans un gaz décomposable	 AArchives des sciences physiques et naturelles, 	1
5	1922	CE Guye, P Mercier 	Recherches complémentaires sur le potentiel explosif dans l'anhydride carbonique aux pressions élevées	 AArchives des sciences physiques et naturelles,  	1
6	1929	CE Guye, MI Archinard 	Contribution à l'étude dynamique de l'amalgamation	 Helvetica physica acta,  	1
7	1926	CE Guye 	Remarque sur le mode d'évaluation du libre parcours moyen des centres électrisés dans un mélange de gaz, et son application à la théorie de la rotation de la …	 Compte rendu des séances de la Société de …, 	1
8	1925	CE Guye 	Quelques problèmes d'énergétique en relation avec le problème de l'ascension de la sève	 Compte rendu des séances de la Société de …,  	1
9	1926	C Biéler	Influence de l'écrouissage et du recuit sur les propriétés magnétiques de l'invar	Archives des sciences physiques et naturelles, 5, 271-272. 	1
10	1925	CE Guye 	Problèmes d'énergétique en relation avec le problème de l'ascension de la sève: ascension entretenue (2me note)	 Compte rendu des séances de la Société de …,  	1
11	1926	CE Guye 	Sur le mouvement d'ascension d'un liquide le long de la paroi interne d'un tube mouillé et sa relation possible avec le problème de l'ascension de la sève	 Compte rendu des séances de la Société de …, 	1
12	1925	CE Guye 	Ascension spontanée d'un liquide le long d'une paroi qu'il mouille	 Compte rendu des séances de la Société de …,  	1
13	1926	CE Guye 	Sur l'équation du potentiel explosif dans un mélange de deux gaz	 Compte rendu des séances de la Société de …,  	1
14	1922	CE Guye 	Sur la loi de Paschen généralisée au cas de diélectriques polarisables	 Archives des sciences physiques et naturelles,  	1
