no	Year	Authors	Citation	publication	Score
299	1933	Born M, Infeld L. 	Foundations of the new field theory [8] 	Nature. 132: 1004.	0.12
300	1933	Born M, Infeld L. 	Electromagnetic mass [10] 	Nature. 132: 970.	0.12
301	1921	Born M, Gerlach W. 	Elektronenaffinität und Gittertheorie 	Zeitschrift FüR Physik. 5: 433-441. DOI: 10.1007/BF01327680	0.12
302	1921	Born M, Gerlach W. 	Über die Zerstreuung des Lichtes in Gasen 	Zeitschrift FüR Physik. 5: 374-375. DOI: 10.1007/BF01327671	0.12
416	1933	Born M. 	Modified field equations with a finite radius of the electron [14] 	Nature. 132: 282.	0.12
417	1931	Born M. 	Faraday-Jahrhundertfeier und British Association in London 	Die Naturwissenschaften. 19: 932-934. DOI: 10.1007/BF01520313	0.12
418	1930	Born M. 	The quantum theory of chemical valence [12] 	Nature. 126: 205.	0.12
419	1928	Born M. 	Zur Theorie des Ramaneffekts 	Die Naturwissenschaften. 16: 673. DOI: 10.1007/BF01506494	0.12
421	1924	Born M. 	Über Quantenmechanik 	Zeitschrift FüR Physik. 26: 379-395. DOI: 10.1007/BF01327341	0.12
422	1922	Born M. 	Über das Modell der Wasserstoffmolekel 	Die Naturwissenschaften. 10: 677-678. DOI: 10.1007/BF01576900	0.12
423	1922	Born M. 	Über die natürliche optische Aktivität der Kristalle 	Zeitschrift FüR Physik. 8: 390-417. DOI: 10.1007/BF01329609	0.12
424	1922	Born M, Brody E. 	Bemerkungen zu unseren Abhandlungen "Über die Schwingungen eines mechanischen Systems mit endlicher Amplitude und ihre Quantelung" und "Über die spezifische Wärme fester Körper bei hohen Temperaturen" 	Zeitschrift FüR Physik. 8: 205-207. DOI: 10.1007/BF01329595"	0.12
425	1921	Born M, Brody E. 	Über die Schwingungen eines mechanischen Systems mit endlicher Amplitude und ihre Quantelung 	Zeitschrift FüR Physik. 6: 140-152. DOI: 10.1007/BF01327973	0.12
426	1921	Born M, Brody E. 	Über die spezifische Wärme fester Körper bei hohen Temperaturen 	Zeitschrift FüR Physik. 6: 132-139. DOI: 10.1007/BF01327972	0.12
12	1931	Bragg WH. 	Faraday's first successful experiment on diamagnetism [3]	 Nature. 127: 337.	0.597
13	1931	Bragg WH. 	Faraday relics [14] 	Nature. 127: 486.	0.602
14	1930	Bragg WH. 	THE MEANING OF THE CRYSTAL. 	Science (New York, N.Y.). 71: 547-50. PMID 17796359 DOI: 10.1126/science.71.1848.547	0.67
16	1930	Bragg WH. 	New data on cellulose space lattice [4] 	Nature. 125: 634.	0.601
17	1926	Bragg WH, Porter AW. Frederick S. 	Spiers memorial [2] 	Journal of Scientific Instruments. 3: 386. DOI: 10.1088/0950-7671/3/11/111	0.593
18	1925	Astbury WT, Bragg WH. 	Crystallography 	Annual Reports On the Progress of Chemistry. 22: 240-258. DOI: 10.1039/AR9252200240	0.7
19	1924	Bragg WH. 	THE ANALYSIS OF CRYSTAL STRUCTURE BY X-RAYS. 	Science (New York, N.Y.). 60: 139-49. PMID 17750761 DOI: 10.1002/jctb.5000433902	0.754
20	1924	Bragg WH. 	X-ray examination of metal films [1] 	Nature. 113: 639.	0.677
21	1923	Bragg WH. 	Crystal structure of basic beryllium acetate [1] 	Nature. 111: 532.	0.687
22	1923	Bragg WH. 	X-rays and crystal symmetry [1] 	Nature. 112: 618.	0.748
23	1923	Bragg WH. 	The nature of the liquid state [2] 	Nature. 111: 428.	0.608
24	1922	Bragg WH. 	The significance of crystal structure 	Journal of the Chemical Society, Transactions. 121: 2766-2787. DOI: 10.1039/CT9222102766	0.686
25	1921	Bragg WH. 	The crystal structure of ice 	Proceedings of the Physical Society of London. 34: 98-103. DOI: 10.1088/1478-7814/34/1/322	0.663
26	1921	Bragg WH. 	The structure of organic crystals 	Proceedings of the Physical Society of London. 34: 33-50. DOI: 10.1088/1478-7814/34/1/306	0.675
60	1924	Piaggio HTH, Campbell NR, Lorentz HA, Rutherford E, de Broglie M, Millikan RA, Onnes HK, Weiss P, Brillouin L, Bragg WH, de Haas WJ, Bohr N, Ehrenfest P. 	Modern Electrical Theory. Supplementary Chapters. Chapter XVII.: The Structure of the Atom 	The Mathematical Gazette. 12: 117. DOI: 10.2307/3604665	0.072
61	1928	Bragg WH. 	II. A note on the cristalline structure of certain aromatic compounds 	Zeitschrift FüR Kristallographie - Crystalline Materials. 66. DOI: 10.1524/zkri.1928.66.1.22	0.069
34	1928	Brillouin L. 	Is It Possible to Test by a Direct Experiment the Hypothesis of the Spinning Electron? 	Proceedings of the National Academy of Sciences of the United States of America. 14: 755-63. PMID 16587402	0.028
3	1933	Alvarez L, Compton AH. 	A positively charged component of cosmic rays [2] 	Physical Review. 43: 835-836. DOI: 10.1103/Physrev.43.835	0.508
4	1933	Compton AH, Hopfield JJ. 	An improved cosmic-ray meter 	Review of Scientific Instruments. 4: 491-495. DOI: 10.1063/1.1749185	0.307
5	1932	Compton AH, Hopfield JJ. 	Use of argon in the ionization method of measuring cosmic rays [2] 	Physical Review. 41: 539. DOI: 10.1103/Physrev.41.539	0.305
6	1925	Compton AH, Bearden JA. 	The Effect of a Surrounding Box on the Spectrum of Scattered X-Rays. 	Proceedings of the National Academy of Sciences of the United States of America. 11: 117-9. PMID 16586985 DOI: 10.1073/Pnas.11.2.117	0.637
10	1924	Compton AH, Woo YH. 	The Wave-Length of Molybdenum K(alpha) Rays when Scattered by Light Elements. 	Proceedings of the National Academy of Sciences of the United States of America. 10: 271-3. PMID 16586942 DOI: 10.1073/Pnas.10.6.271	0.277
45	1933	Compton AH. 	THE SIGNIFICANCE OF RECENT MEASUREMENTS OF COSMIC RAYS. 	Science (New York, N.Y.). 77: 480-2. PMID 17754227 DOI: 10.1126/Science.77.2003.480	0.265
46	1933	Compton AH. 	A geographic study of cosmic rays 	Physical Review. 43: 387-403. DOI: 10.1103/Physrev.43.387	0.265
47	1933	Compton AH. 	The Secret Message of the Cosmic Ray 	Scientific American. 149: 5-7. DOI: 10.1038/Scientificamerican0733-5	0.265
48	1933	Compton AH. 	Nature of cosmic rays 	Nature. 131: 713-715. DOI: 10.1038/131713A0	0.265
49	1933	Compton AH. 	Progress of world-survey of cosmic rays Transactions, 	American Geophysical Union. 14: 154. DOI: 10.1029/Tr014I001P00154	0.265
50	1932	Compton AH. 	Progress of cosmic-ray survey [4] 	Physical Review. 41: 681-682. DOI: 10.1103/Physrev.41.681	0.265
51	1932	Bennett RD, Stearns JC, Compton AH. 	Diurnal variation of cosmic rays 	Physical Review. 41: 119-126. DOI: 10.1103/Physrev.41.119	0.265
52	1932	Compton AH. 	Variation of the cosmic rays with latitude [2] 	Physical Review. 41: 111-113. DOI: 10.1103/Physrev.41.111.2	0.265
53	1932	Compton AH, Bennett RD, Stearns JC. 	Ionization by penetrating radiation as a function of pressure and temperature 	Physical Review. 39: 873-882. DOI: 10.1103/Physrev.39.873	0.265
54	1932	Compton AH. 	What Science Really Is 	Scientific American. 146: 32-33. DOI: 10.1038/Scientificamerican0132-32	0.265
55	1931	Compton AH. 	THE UNCERTAINTY PRINCIPLE AND FREE WILL. 	Science (New York, N.Y.). 74: 172. PMID 17808216 DOI: 10.1126/Science.74.1911.172	0.265
56	1931	Compton AH. 	The Optics of X-Rays* 	Journal of the Optical Society of America. 21: 75-89. DOI: 10.1364/Josa.21.000075	0.265
57	1931	Bennett RD, Stearns JC, Compton AH. 	The constancy of cosmic rays [2] 	Physical Review. 38: 1566. DOI: 10.1103/Physrev.38.1566	0.265
58	1931	Compton AH, Bennett RD, Stearns JC. 	Ionization as a function of pressure and temperature [1] 	Physical Review. 38: 1565-1566. DOI: 10.1103/Physrev.38.1565	0.265
59	1931	Compton AH. 	A precision x-ray spectrometer and the wave length of mo kα1 	Review of Scientific Instruments. 2: 365-376. DOI: 10.1063/1.1748803	0.265
60	1931	Compton AH. 	The human values of physics 	Journal of Applied Physics. 1: 13-17. DOI: 10.1063/1.1744980	0.265
61	1931	Compton AH. 	Radiations from Radioactive Substances 	Nature. 128: 3-4. DOI: 10.1038/128003A0	0.265
62	1930	Compton AH. 	ARE PLANETS RARE? 	Science (New York, N.Y.). 72: 219. PMID 17775516 DOI: 10.1126/Science.72.1861.219	0.265
64	1930	Compton AH. 	The determination of electron distributions from measurements of scattered x-rays 	Physical Review. 35: 925-938. DOI: 10.1103/Physrev.35.925	0.265
65	1930	Compton AH. 	What is light 	Journal of Chemical Education. 7: 2769. DOI: 10.1021/Ed007P2769	0.265
66	1929	Compton AH. CI. 	The efficiency of production of fluorescent X-rays 	Philosophical Magazine Series 1. 8: 961-977. DOI: 10.1080/14786441208564958	0.265
67	1929	Compton AH. 	What Things Are Made Of-I 	Scientific American. 140: 110-113. DOI: 10.1038/Scientificamerican0229-110	0.265
68	1929	Compton AH. 	A new wave-length standard for X-rays 	Journal of the Franklin Institute. 208: 605-616. DOI: 10.1016/S0016-0032(29)90335-5	0.265
69	1929	Compton AH. 	The corpuscular properties of light 	Reviews of Modern Physics. 1: 74-89. DOI: 10.1007/Bf01505685	0.265
70	1928	Compton AH. 	The Spectrum and State of Polarization of Fluorescent X-Rays. 	Proceedings of the National Academy of Sciences of the United States of America. 14: 549-53. PMID 16587361 DOI: 10.1073/Pnas.14.7.549	0.265
71	1928	Compton AH. 	X-Rays as a Branch of Optics 	Journal of the Optical Society of America. 16: 71. DOI: 10.1364/Josa.16.000071	0.265
72	1928	Compton AH. 	On the interaction between radiation and electrons 	Physical Review. 31: 59-65. DOI: 10.1103/Physrev.31.59	0.265
73	1928	Compton AH. 	Some experimental difficulties with the electromagnetic theory of radiation 	Journal of the Franklin Institute. 205: 155-175. DOI: 10.1016/S0016-0032(28)92041-4	0.265
74	1927	Jauncey GEM, Compton AH. 	Coherence of the Reflected X-Rays from Crystals 	Nature. 120: 549-549. DOI: 10.1038/120549A0	0.265
75	1925	Compton AH, Doan RL.	 X-Ray Spectra from a Ruled Reflection Grating. 	Proceedings of the National Academy of Sciences of the United States of America. 11: 598-601. PMID 16587045 DOI: 10.1073/Pnas.11.10.598	0.265
76	1925	Compton AH. 	On the Mechanism of X-Ray Scattering. 	Proceedings of the National Academy of Sciences of the United States of America. 11: 303-6. PMID 16587006 DOI: 10.1073/Pnas.11.6.303	0.265
77	1925	Compton AH, Simon AW. 	Directed ouanta of scattered X-rays 	Physical Review. 26: 289-299. DOI: 10.1103/Physrev.26.289	0.265
78	1925	Compton AH, Beets HN, Defoe OK. 	The grating space of calcite and rock salt 	Physical Review. 25: 625-629. DOI: 10.1103/Physrev.25.625	0.265
