,author,co-author,year,attribute
790,RUTHERFORD E,WEISS P,1924,collaborate
791,RUTHERFORD E,BRILLOUIN L,1924,collaborate
792,RUTHERFORD E,BRAGG WH,1924,collaborate
793,RUTHERFORD E,DE HAAS WJ,1924,collaborate
794,RUTHERFORD E,BOHR N,1924,collaborate
795,RUTHERFORD E,EHRENFEST P,1924,collaborate
796,DE BROGLIE M,MILLIKAN RA,1924,collaborate
797,DE BROGLIE M,ONNES HK,1924,collaborate
798,DE BROGLIE M,WEISS P,1924,collaborate
799,DE BROGLIE M,BRILLOUIN L,1924,collaborate
800,DE BROGLIE M,BRAGG WH,1924,collaborate
801,DE BROGLIE M,DE HAAS WJ,1924,collaborate
802,DE BROGLIE M,BOHR N,1924,collaborate
803,DE BROGLIE M,EHRENFEST P,1924,collaborate
804,MILLIKAN RA,ONNES HK,1924,collaborate
805,MILLIKAN RA,WEISS P,1924,collaborate
806,MILLIKAN RA,BRILLOUIN L,1924,collaborate
807,MILLIKAN RA,BRAGG WH,1924,collaborate
808,MILLIKAN RA,DE HAAS WJ,1924,collaborate
809,MILLIKAN RA,BOHR N,1924,collaborate
810,MILLIKAN RA,EHRENFEST P,1924,collaborate
811,ONNES HK,WEISS P,1924,collaborate
812,ONNES HK,BRILLOUIN L,1924,collaborate
813,ONNES HK,BRAGG WH,1924,collaborate
814,ONNES HK,DE HAAS WJ,1924,collaborate
815,ONNES HK,BOHR N,1924,collaborate
816,ONNES HK,EHRENFEST P,1924,collaborate
817,WEISS P,BRILLOUIN L,1924,collaborate
818,WEISS P,BRAGG WH,1924,collaborate
819,WEISS P,DE HAAS WJ,1924,collaborate
820,WEISS P,BOHR N,1924,collaborate
821,WEISS P,EHRENFEST P,1924,collaborate
822,BRILLOUIN L,BRAGG WH,1924,collaborate
823,BRILLOUIN L,DE HAAS WJ,1924,collaborate
824,BRILLOUIN L,BOHR N,1924,collaborate
825,BRILLOUIN L,EHRENFEST P,1924,collaborate
826,BRAGG WH,DE HAAS WJ,1924,collaborate
827,BRAGG WH,BOHR N,1924,collaborate
828,BRAGG WH,EHRENFEST P,1924,collaborate
829,DE HAAS WJ,BOHR N,1924,collaborate
830,DE HAAS WJ,EHRENFEST P,1924,collaborate
831,BOHR N,EHRENFEST P,1924,collaborate
832,PAULI WE,POLITZER G,1929,collaborate
833,HARTMAN A,PAULI WE,1926,collaborate
834,PAULI WE,REDWITZ EV,1925,collaborate
835,ANGERER CV,PAULI WE,1925,collaborate
836,ANGERER CV,REDWITZ EV,1925,collaborate
837,PAULI WE,REDWITZ EV,1925,collaborate
838,PICCARD A,STAHEL E,1932,collaborate
839,PICCARD A,KIPFER P,1932,collaborate
840,STAHEL E,KIPFER P,1932,collaborate
841,PICCARD A,STAHEL E,1929,collaborate
842,PICCARD A,STAHEL E,1928,collaborate
843,PICCARD A,STAHEL E,1927,collaborate
844,RAO SR,RICHARDSON OW,1930,collaborate
845,RICHARDSON OW,WILLIAMS WE,1931,collaborate
846,RICHARDSON OW,ANDREWES U,1929,collaborate
847,RICHARDSON OW,DAVIDSON PM,1928,collaborate
848,RICHARDSON OW,TANAKA T,1924,collaborate
849,VON TRAUBENBERG HR,GEBAUER R,1932,collaborate
850,VON TRAUBENBERG HR,SCHRÖDINGER E,1932,collaborate
851,GEBAUER R,SCHRÖDINGER E,1932,collaborate
852,DE BROGLIE L,DE BROGLIE M,1928,collaborate
853,KAPITZA PL,DIRAC PAM,1933,collaborate
854,GUYE CE,R RUDY,1923,collaborate
855,GUYE CE,A ROTHEN,1921,collaborate
856,GUYE CE,H SAINI,1929,collaborate
857,GUYE CE,JJ WEIGLE,1923,collaborate
858,GUYE CE,BJ LUYET,1927,collaborate
859,GUYE CE,P MERCIER,1922,collaborate
860,GUYE CE,MI ARCHINARD,1929,collaborate
861,GUYE CE,JJ WEIGLE,1923,collaborate
862,GUYE CE,BJ LUYET,1927,collaborate
863,A PAZZIANI,GUYE CE,1924,collaborate
864,GUYE CE,JJ WEIGLE,1923,collaborate
865,GUYE CE,R RUDY,1923,collaborate
866,GUYE CE,A DUPRAZ,1929,collaborate
867,A PAZZIANI,GUYE CE,1924,collaborate
868,GUYE CE,JR CLARKE,1925,collaborate
869,A ROTHEN,GUYE CE,1921,collaborate
870,JP JACOBSEN,KNUDSEN M,1921,collaborate
871,M D'OCAGNE,G DARMOIS,1928,collaborate
872,M D'OCAGNE,DE DONDER T,1928,collaborate
873,G DARMOIS,DE DONDER T,1928,collaborate
874,DE DONDER T,T DONDER,1921,collaborate
875,DE DONDER T,FH VAN DEN DUNGEN,1926,collaborate
876,DE DONDER T,Y DUPONT,1932,collaborate
